# 2017/03/04 - 16:39
PDB,CHAIN,ACCESSION,EC_NUMBER
168l,E,P00720,3.2.1.17
169l,A,P00720,3.2.1.17
169l,B,P00720,3.2.1.17
169l,C,P00720,3.2.1.17
169l,D,P00720,3.2.1.17
169l,E,P00720,3.2.1.17
16gs,A,P09211,2.5.1.18
16gs,B,P09211,2.5.1.18
16pk,A,P07378,2.7.2.3
170l,A,P00720,3.2.1.17
171l,A,P00720,3.2.1.17
172l,A,P00720,3.2.1.17
173l,A,P00720,3.2.1.17
174l,A,P00720,3.2.1.17
174l,B,P00720,3.2.1.17
175l,A,P00720,3.2.1.17
175l,B,P00720,3.2.1.17
176l,A,P00720,3.2.1.17
176l,B,P00720,3.2.1.17
177l,A,P00720,3.2.1.17
178l,A,P00720,3.2.1.17
17gs,A,P09211,2.5.1.18
17gs,B,P09211,2.5.1.18
180l,A,P00720,3.2.1.17
180l,B,P00720,3.2.1.17
181l,A,P00720,3.2.1.17
182l,A,P00720,3.2.1.17
183l,A,P00720,3.2.1.17
184l,A,P00720,3.2.1.17
185l,A,P00720,3.2.1.17
186l,A,P00720,3.2.1.17
187l,A,P00720,3.2.1.17
188l,A,P00720,3.2.1.17
189l,A,P00720,3.2.1.17
18gs,A,P09211,2.5.1.18
18gs,B,P09211,2.5.1.18
190l,A,P00720,3.2.1.17
191l,A,P00720,3.2.1.17
192l,A,P00720,3.2.1.17
193l,A,P00698,3.2.1.17
194l,A,P00698,3.2.1.17
195l,A,P00720,3.2.1.17
196l,A,P00720,3.2.1.17
197l,A,P00720,3.2.1.17
198l,A,P00720,3.2.1.17
199l,A,P00720,3.2.1.17
19gs,A,P09211,2.5.1.18
19gs,B,P09211,2.5.1.18
1a05,A,Q56268,1.1.1.85
1a05,B,Q56268,1.1.1.85
1a06,A,Q63450,2.7.11.17
1a07,A,P12931,2.7.10.2
1a07,B,P12931,2.7.10.2
1a08,A,P12931,2.7.10.2
1a08,B,P12931,2.7.10.2
1a09,A,P12931,2.7.10.2
1a09,B,P12931,2.7.10.2
1a0b,A,P0AEC3,2.7.13.3
1a0c,A,P19148,5.3.1.5
1a0c,B,P19148,5.3.1.5
1a0c,C,P19148,5.3.1.5
1a0c,D,P19148,5.3.1.5
1a0d,A,P54273,5.3.1.5
1a0d,B,P54273,5.3.1.5
1a0d,C,P54273,5.3.1.5
1a0d,D,P54273,5.3.1.5
1a0e,A,P45687,5.3.1.5
1a0e,D,P45687,5.3.1.5
1a0f,A,P0A9D2,2.5.1.18
1a0f,B,P0A9D2,2.5.1.18
1a0g,A,P19938,2.6.1.21
1a0g,B,P19938,2.6.1.21
1a0h,A,P00735,3.4.21.5
1a0h,B,P00735,3.4.21.5
1a0h,D,P00735,3.4.21.5
1a0h,E,P00735,3.4.21.5
1a0i,A,P00969,6.5.1.1
1a0j,A,P35033,3.4.21.4
1a0j,B,P35033,3.4.21.4
1a0j,C,P35033,3.4.21.4
1a0j,D,P35033,3.4.21.4
1a0l,A,P20231,3.4.21.59
1a0l,B,P20231,3.4.21.59
1a0l,C,P20231,3.4.21.59
1a0l,D,P20231,3.4.21.59
1a0n,B,P06241,2.7.10.2
1a0o,B,P07363,2.7.13.3
1a0o,D,P07363,2.7.13.3
1a0o,F,P07363,2.7.13.3
1a0o,H,P07363,2.7.13.3
1a14,N,P03472,3.2.1.18
1a16,A,P15034,3.4.11.9
1a17,A,P53041,3.1.3.16
1a1a,A,P12931,2.7.10.2
1a1a,B,P12931,2.7.10.2
1a1b,A,P12931,2.7.10.2
1a1b,B,P12931,2.7.10.2
1a1c,A,P12931,2.7.10.2
1a1c,B,P12931,2.7.10.2
1a1d,A, ,2.7.7.6
1a1e,A,P12931,2.7.10.2
1a1e,B,P12931,2.7.10.2
1a1q,A,P26663,2.7.7.48
1a1q,A,P26663,3.4.21.98
1a1q,A,P26663,3.6.1.15
1a1q,A,P26663,3.6.4.13
1a1q,B,P26663,2.7.7.48
1a1q,B,P26663,3.4.21.98
1a1q,B,P26663,3.6.1.15
1a1q,B,P26663,3.6.4.13
1a1q,C,P26663,2.7.7.48
1a1q,C,P26663,3.4.21.98
1a1q,C,P26663,3.6.1.15
1a1q,C,P26663,3.6.4.13
1a1r,A,P27958,2.7.7.48
1a1r,A,P27958,3.4.21.98
1a1r,A,P27958,3.6.1.15
1a1r,A,P27958,3.6.4.13
1a1r,B,P27958,2.7.7.48
1a1r,B,P27958,3.4.21.98
1a1r,B,P27958,3.6.1.15
1a1r,B,P27958,3.6.4.13
1a1s,A,Q51742,2.1.3.3
1a1v,A,P27958,2.7.7.48
1a1v,A,P27958,3.4.21.98
1a1v,A,P27958,3.6.1.15
1a1v,A,P27958,3.6.4.13
1a25,A,P68403,2.7.11.13
1a25,B,P68403,2.7.11.13
1a26,A,P26446,2.4.2.30
1a27,A,P14061,1.1.1.62
1a2a,A,P14421,3.1.1.4
1a2a,B,P14421,3.1.1.4
1a2a,C,P14421,3.1.1.4
1a2a,D,P14421,3.1.1.4
1a2a,E,P14421,3.1.1.4
1a2a,F,P14421,3.1.1.4
1a2a,G,P14421,3.1.1.4
1a2a,H,P14421,3.1.1.4
1a2c,H,P00734,3.4.21.5
1a2c,L,P00734,3.4.21.5
1a2f,A,P00431,1.11.1.5
1a2g,A,P00431,1.11.1.5
1a2n,A,P0A749,2.5.1.7
1a2o,A,P04042,3.1.1.61
1a2o,B,P04042,3.1.1.61
1a2p,A, ,3.1.27.-
1a2p,B, ,3.1.27.-
1a2p,C, ,3.1.27.-
1a2q,A,P00782,3.4.21.62
1a2t,A,P00644,3.1.31.1
1a2u,A,P00644,3.1.31.1
1a2v,A,P12807,1.4.3.21
1a2v,B,P12807,1.4.3.21
1a2v,C,P12807,1.4.3.21
1a2v,D,P12807,1.4.3.21
1a2v,E,P12807,1.4.3.21
1a2v,F,P12807,1.4.3.21
1a2w,A,P61823,3.1.27.5
1a2w,B,P61823,3.1.27.5
1a2y,C,P00698,3.2.1.17
1a2z,A,O07883,3.4.19.3
1a2z,B,O07883,3.4.19.3
1a2z,C,O07883,3.4.19.3
1a2z,D,O07883,3.4.19.3
1a30,A,P04585,2.7.7.49
1a30,A,P04585,2.7.7.7
1a30,A,P04585,3.1.13.2
1a30,A,P04585,3.1.26.13
1a30,A,P04585,3.4.23.16
1a30,B,P04585,2.7.7.49
1a30,B,P04585,2.7.7.7
1a30,B,P04585,3.1.13.2
1a30,B,P04585,3.1.26.13
1a30,B,P04585,3.4.23.16
1a31,A,P11387,5.99.1.2
1a33,A,Q27450,5.2.1.8
1a35,A,P11387,5.99.1.2
1a36,A,P11387,5.99.1.2
1a39,A,P56680,3.2.1.4
1a3a,A,P00550,2.7.1.197
1a3a,B,P00550,2.7.1.197
1a3a,C,P00550,2.7.1.197
1a3a,D,P00550,2.7.1.197
1a3b,H,P00734,3.4.21.5
1a3b,L,P00734,3.4.21.5
1a3c,A,P39765,2.4.2.9
1a3d,A,P15445,3.1.1.4
1a3e,H,P00734,3.4.21.5
1a3e,L,P00734,3.4.21.5
1a3f,A,P15445,3.1.1.4
1a3f,B,P15445,3.1.1.4
1a3f,C,P15445,3.1.1.4
1a3g,A,P0AB80,2.6.1.42
1a3g,B,P0AB80,2.6.1.42
1a3g,C,P0AB80,2.6.1.42
1a3h,A,O85465,3.2.1.4
1a3r,P,P04936,2.7.7.48
1a3r,P,P04936,3.4.22.28
1a3r,P,P04936,3.4.22.29
1a3r,P,P04936,3.6.1.15
1a3s,A, ,6.3.2.19
1a3t,A,P00644,3.1.31.1
1a3u,A,P00644,3.1.31.1
1a3v,A,P00644,3.1.31.1
1a3w,A,P00549,2.7.1.40
1a3w,B,P00549,2.7.1.40
1a3x,A,P00549,2.7.1.40
1a3x,B,P00549,2.7.1.40
1a41,A,P68698,5.99.1.2
1a42,A,P00918,4.2.1.1
1a43,A,P12497,2.7.7.49
1a43,A,P12497,2.7.7.7
1a43,A,P12497,3.1.13.2
1a43,A,P12497,3.1.26.13
1a43,A,P12497,3.4.23.16
1a46,H,P00734,3.4.21.5
1a46,L,P00734,3.4.21.5
1a47,A,P26827,2.4.1.19
1a48,A,P27616,6.3.2.6
1a49,A,P11974,2.7.1.40
1a49,B,P11974,2.7.1.40
1a49,C,P11974,2.7.1.40
1a49,D,P11974,2.7.1.40
1a49,E,P11974,2.7.1.40
1a49,F,P11974,2.7.1.40
1a49,G,P11974,2.7.1.40
1a49,H,P11974,2.7.1.40
1a4e,A,P15202,1.11.1.6
1a4e,B,P15202,1.11.1.6
1a4e,C,P15202,1.11.1.6
1a4e,D,P15202,1.11.1.6
1a4g,A,P27907,3.2.1.18
1a4g,B,P27907,3.2.1.18
1a4i,A,P11586,1.5.1.5
1a4i,A,P11586,3.5.4.9
1a4i,A,P11586,6.3.4.3
1a4i,B,P11586,1.5.1.5
1a4i,B,P11586,3.5.4.9
1a4i,B,P11586,6.3.4.3
1a4l,A,P03958,3.5.4.4
1a4l,B,P03958,3.5.4.4
1a4l,C,P03958,3.5.4.4
1a4l,D,P03958,3.5.4.4
1a4m,A,P03958,3.5.4.4
1a4m,B,P03958,3.5.4.4
1a4m,C,P03958,3.5.4.4
1a4m,D,P03958,3.5.4.4
1a4q,A,P27907,3.2.1.18
1a4q,B,P27907,3.2.1.18
1a4s,A,P56533,1.2.1.3
1a4s,A,P56533,1.2.1.8
1a4s,B,P56533,1.2.1.3
1a4s,B,P56533,1.2.1.8
1a4s,C,P56533,1.2.1.3
1a4s,C,P56533,1.2.1.8
1a4s,D,P56533,1.2.1.3
1a4s,D,P56533,1.2.1.8
1a4u,A,P10807,1.1.1.1
1a4u,B,P10807,1.1.1.1
1a4v,A, ,2.4.1.22
1a4w,H,P00734,3.4.21.5
1a4w,L,P00734,3.4.21.5
1a4x,A,P39765,2.4.2.9
1a4x,B,P39765,2.4.2.9
1a4y,B, ,3.1.27.-
1a4y,E, ,3.1.27.-
1a4z,A,P20000,1.2.1.3
1a4z,B,P20000,1.2.1.3
1a4z,C,P20000,1.2.1.3
1a4z,D,P20000,1.2.1.3
1a50,A,P00929,4.2.1.20
1a50,B,P0A2K1,4.2.1.20
1a53,A,Q06121,4.1.1.48
1a58,A,Q27450,5.2.1.8
1a59,A,O34002,2.3.3.16
1a59,A,O34002,2.3.3.5
1a5a,A,P00929,4.2.1.20
1a5a,B,P0A2K1,4.2.1.20
1a5b,A,P00929,4.2.1.20
1a5b,B,P0A2K1,4.2.1.20
1a5c,A,P14223,4.1.2.13
1a5c,B,P14223,4.1.2.13
1a5g,H,P00734,3.4.21.5
1a5g,L,P00734,3.4.21.5
1a5h,A,P00750,3.4.21.68
1a5h,B,P00750,3.4.21.68
1a5h,C,P00750,3.4.21.68
1a5h,D,P00750,3.4.21.68
1a5i,A,P98119,3.4.21.68
1a5k,A,P18316,3.5.1.5
1a5k,B,P18315,3.5.1.5
1a5k,C,P18314,3.5.1.5
1a5l,A,P18316,3.5.1.5
1a5l,B,P18315,3.5.1.5
1a5l,C,P18314,3.5.1.5
1a5m,A,P18316,3.5.1.5
1a5m,B,P18315,3.5.1.5
1a5m,C,P18314,3.5.1.5
1a5n,A,P18316,3.5.1.5
1a5n,B,P18315,3.5.1.5
1a5n,C,P18314,3.5.1.5
1a5o,A,P18316,3.5.1.5
1a5o,B,P18315,3.5.1.5
1a5o,C,P18314,3.5.1.5
1a5p,A,P61823,3.1.27.5
1a5q,A,P61823,3.1.27.5
1a5s,A,P00929,4.2.1.20
1a5s,B,P0A2K1,4.2.1.20
1a5t,A,P28631,2.7.7.7
1a5u,A,P11974,2.7.1.40
1a5u,B,P11974,2.7.1.40
1a5u,C,P11974,2.7.1.40
1a5u,D,P11974,2.7.1.40
1a5u,E,P11974,2.7.1.40
1a5u,F,P11974,2.7.1.40
1a5u,G,P11974,2.7.1.40
1a5u,H,P11974,2.7.1.40
1a5v,A,O92956,2.7.7.49
1a5v,A,O92956,2.7.7.7
1a5v,A,O92956,3.1.26.4
1a5w,A,O92956,2.7.7.49
1a5w,A,O92956,2.7.7.7
1a5w,A,O92956,3.1.26.4
1a5x,A,O92956,2.7.7.49
1a5x,A,O92956,2.7.7.7
1a5x,A,O92956,3.1.26.4
1a5y,A,P18031,3.1.3.48
1a5z,A,P16115,1.1.1.27
1a61,H,P00734,3.4.21.5
1a61,L,P00734,3.4.21.5
1a65,A, ,1.10.3.2
1a69,A,P0ABP8,2.4.2.1
1a69,B,P0ABP8,2.4.2.1
1a69,C,P0ABP8,2.4.2.1
1a6f,A,P25814,3.1.26.5
1a6j,A, ,2.7.1.69
1a6j,B, ,2.7.1.69
1a6q,A,P35813,3.1.3.16
1a6r,A,Q01532,3.4.22.40
1a6x,A, ,6.4.1.2
1a71,A,P00327,1.1.1.1
1a71,B,P00327,1.1.1.1
1a72,A,P00327,1.1.1.1
1a79,A,Q58819,4.6.1.16
1a79,B,Q58819,4.6.1.16
1a79,C,Q58819,4.6.1.16
1a79,D,Q58819,4.6.1.16
1a7a,A,P23526,3.3.1.1
1a7a,B,P23526,3.3.1.1
1a7j,A,P12033,2.7.1.19
1a7k,A,Q27890,1.2.1.12
1a7k,B,Q27890,1.2.1.12
1a7k,C,Q27890,1.2.1.12
1a7k,D,Q27890,1.2.1.12
1a7t,A,P25910,3.5.2.6
1a7t,B,P25910,3.5.2.6
1a7u,A,O31168,1.11.1.10
1a7u,B,O31168,1.11.1.10
1a7x,A,P62942,5.2.1.8
1a7x,B,P62942,5.2.1.8
1a80,A,P06632,1.1.1.346
1a81,A,P43405,2.7.10.2
1a81,C,P43405,2.7.10.2
1a81,E,P43405,2.7.10.2
1a81,G,P43405,2.7.10.2
1a81,I,P43405,2.7.10.2
1a81,K,P43405,2.7.10.2
1a82,A,P13000,6.3.3.3
1a85,A,P22894,3.4.24.34
1a86,A,P22894,3.4.24.34
1a88,A,P49323,1.11.1.10
1a88,B,P49323,1.11.1.10
1a88,C,P49323,1.11.1.10
1a8d,A,P04958,3.4.24.68
1a8g,A,P03367,2.7.7.49
1a8g,A,P03367,2.7.7.7
1a8g,A,P03367,3.1.13.2
1a8g,A,P03367,3.1.26.13
1a8g,A,P03367,3.4.23.16
1a8g,B,P03367,2.7.7.49
1a8g,B,P03367,2.7.7.7
1a8g,B,P03367,3.1.13.2
1a8g,B,P03367,3.1.26.13
1a8g,B,P03367,3.4.23.16
1a8h,A,P23395,6.1.1.10
1a8i,A,P00489,2.4.1.1
1a8k,A,P03367,2.7.7.49
1a8k,A,P03367,2.7.7.7
1a8k,A,P03367,3.1.13.2
1a8k,A,P03367,3.1.26.13
1a8k,A,P03367,3.4.23.16
1a8k,B,P03367,2.7.7.49
1a8k,B,P03367,2.7.7.7
1a8k,B,P03367,3.1.13.2
1a8k,B,P03367,3.1.26.13
1a8k,B,P03367,3.4.23.16
1a8k,D,P03367,2.7.7.49
1a8k,D,P03367,2.7.7.7
1a8k,D,P03367,3.1.13.2
1a8k,D,P03367,3.1.26.13
1a8k,D,P03367,3.4.23.16
1a8k,E,P03367,2.7.7.49
1a8k,E,P03367,2.7.7.7
1a8k,E,P03367,3.1.13.2
1a8k,E,P03367,3.1.26.13
1a8k,E,P03367,3.4.23.16
1a8o,A,P12497,2.7.7.49
1a8o,A,P12497,2.7.7.7
1a8o,A,P12497,3.1.13.2
1a8o,A,P12497,3.1.26.13
1a8o,A,P12497,3.4.23.16
1a8p,A,Q44532,1.18.1.2
1a8q,A, ,1.11.1.10
1a8r,A,P0A6T5,3.5.4.16
1a8r,B,P0A6T5,3.5.4.16
1a8r,C,P0A6T5,3.5.4.16
1a8r,D,P0A6T5,3.5.4.16
1a8r,E,P0A6T5,3.5.4.16
1a8r,F,P0A6T5,3.5.4.16
1a8r,G,P0A6T5,3.5.4.16
1a8r,H,P0A6T5,3.5.4.16
1a8r,I,P0A6T5,3.5.4.16
1a8r,J,P0A6T5,3.5.4.16
1a8r,K,P0A6T5,3.5.4.16
1a8r,L,P0A6T5,3.5.4.16
1a8r,M,P0A6T5,3.5.4.16
1a8r,N,P0A6T5,3.5.4.16
1a8r,O,P0A6T5,3.5.4.16
1a8s,A,O31158,1.11.1.10
1a8t,A,P25910,3.5.2.6
1a8t,B,P25910,3.5.2.6
1a8u,A,O31168,1.11.1.10
1a8u,B,O31168,1.11.1.10
1a91,A, ,3.6.1.34
1a94,A,P03367,2.7.7.49
1a94,A,P03367,2.7.7.7
1a94,A,P03367,3.1.13.2
1a94,A,P03367,3.1.26.13
1a94,A,P03367,3.4.23.16
1a94,B,P03367,2.7.7.49
1a94,B,P03367,2.7.7.7
1a94,B,P03367,3.1.13.2
1a94,B,P03367,3.1.26.13
1a94,B,P03367,3.4.23.16
1a94,D,P03367,2.7.7.49
1a94,D,P03367,2.7.7.7
1a94,D,P03367,3.1.13.2
1a94,D,P03367,3.1.26.13
1a94,D,P03367,3.4.23.16
1a94,E,P03367,2.7.7.49
1a94,E,P03367,2.7.7.7
1a94,E,P03367,3.1.13.2
1a94,E,P03367,3.1.26.13
1a94,E,P03367,3.4.23.16
1a95,A,P0A9M5,2.4.2.22
1a95,B,P0A9M5,2.4.2.22
1a95,C,P0A9M5,2.4.2.22
1a95,D,P0A9M5,2.4.2.22
1a96,A,P0A9M5,2.4.2.22
1a96,B,P0A9M5,2.4.2.22
1a96,C,P0A9M5,2.4.2.22
1a96,D,P0A9M5,2.4.2.22
1a97,A,P0A9M5,2.4.2.22
1a97,B,P0A9M5,2.4.2.22
1a97,C,P0A9M5,2.4.2.22
1a97,D,P0A9M5,2.4.2.22
1a98,A,P0A9M5,2.4.2.22
1a98,B,P0A9M5,2.4.2.22
1a9c,A,P0A6T5,3.5.4.16
1a9c,B,P0A6T5,3.5.4.16
1a9c,C,P0A6T5,3.5.4.16
1a9c,D,P0A6T5,3.5.4.16
1a9c,E,P0A6T5,3.5.4.16
1a9c,F,P0A6T5,3.5.4.16
1a9c,G,P0A6T5,3.5.4.16
1a9c,H,P0A6T5,3.5.4.16
1a9c,I,P0A6T5,3.5.4.16
1a9c,J,P0A6T5,3.5.4.16
1a9c,K,P0A6T5,3.5.4.16
1a9c,L,P0A6T5,3.5.4.16
1a9c,M,P0A6T5,3.5.4.16
1a9c,N,P0A6T5,3.5.4.16
1a9c,O,P0A6T5,3.5.4.16
1a9m,A,P03366,2.7.7.49
1a9m,A,P03366,2.7.7.7
1a9m,A,P03366,3.1.13.2
1a9m,A,P03366,3.1.26.13
1a9m,A,P03366,3.4.23.16
1a9m,B,P03366,2.7.7.49
1a9m,B,P03366,2.7.7.7
1a9m,B,P03366,3.1.13.2
1a9m,B,P03366,3.1.26.13
1a9m,B,P03366,3.4.23.16
1a9o,A,P55859,2.4.2.1
1a9p,A,P55859,2.4.2.1
1a9q,A,P55859,2.4.2.1
1a9r,A,P55859,2.4.2.1
1a9s,A,P55859,2.4.2.1
1a9t,A,P55859,2.4.2.1
1a9u,A,Q16539,2.7.11.24
1a9x,A,P00968,6.3.5.5
1a9x,B,P0A6F1,6.3.5.5
1a9x,C,P00968,6.3.5.5
1a9x,D,P0A6F1,6.3.5.5
1a9x,E,P00968,6.3.5.5
1a9x,F,P0A6F1,6.3.5.5
1a9x,G,P00968,6.3.5.5
1a9x,H,P0A6F1,6.3.5.5
1a9y,A,P09147,5.1.3.2
1a9z,A,P09147,5.1.3.2
1aa1,B,P00875,4.1.1.39
1aa1,C,Q43832,4.1.1.39
1aa1,E,P00875,4.1.1.39
1aa1,F,Q43832,4.1.1.39
1aa1,H,P00875,4.1.1.39
1aa1,I,Q43832,4.1.1.39
1aa1,L,P00875,4.1.1.39
1aa1,S,Q43832,4.1.1.39
1aa4,A,P00431,1.11.1.5
1aa6,A,P07658,1.1.99.33
1aa6,A,P07658,1.2.1.2
1aaf,A,P05961,2.7.7.49
1aaf,A,P05961,2.7.7.7
1aaf,A,P05961,3.1.13.2
1aaf,A,P05961,3.1.26.13
1aaf,A,P05961,3.4.23.16
1aam,A,P00509,2.6.1.1
1aaq,A,P03367,2.7.7.49
1aaq,A,P03367,2.7.7.7
1aaq,A,P03367,3.1.13.2
1aaq,A,P03367,3.1.26.13
1aaq,A,P03367,3.4.23.16
1aaq,B,P03367,2.7.7.49
1aaq,B,P03367,2.7.7.7
1aaq,B,P03367,3.1.13.2
1aaq,B,P03367,3.1.26.13
1aaq,B,P03367,3.4.23.16
1aat,A,P00504,2.6.1.1
1aat,A,P00504,2.6.1.3
1aat,B,P00504,2.6.1.1
1aat,B,P00504,2.6.1.3
1aaw,A,P00509,2.6.1.1
1aax,A,P18031,3.1.3.48
1ab2,A,P00519,2.7.10.2
1ab4,A,P0AES4,5.99.1.3
1ab8,A,P26769,4.6.1.1
1ab8,B,P26769,4.6.1.1
1ab9,A,P00766,3.4.21.1
1ab9,B,P00766,3.4.21.1
1ab9,C,P00766,3.4.21.1
1abb,A,P00489,2.4.1.1
1abb,B,P00489,2.4.1.1
1abb,C,P00489,2.4.1.1
1abb,D,P00489,2.4.1.1
1abi,H,P00734,3.4.21.5
1abi,L,P00734,3.4.21.5
1abj,H,P00734,3.4.21.5
1abj,L,P00734,3.4.21.5
1abn,A,P15121,1.1.1.21
1abo,A,P00520,2.7.10.2
1abo,B,P00520,2.7.10.2
1abq,A,P00520,2.7.10.2
1abr,A,P11140,3.2.2.22
1abr,B,P11140,3.2.2.22
1abv,A, ,3.6.1.34
1ac0,A,P69328,3.2.1.3
1ac4,A,P00431,1.11.1.5
1ac5,A,P09620,3.4.16.6
1ac8,A,P00431,1.11.1.5
1acb,E,P00766,3.4.21.1
1acj,A,P04058,3.1.1.7
1acl,A,P04058,3.1.1.7
1acm,A,P0A786,2.1.3.2
1acm,C,P0A786,2.1.3.2
1aco,A,P20004,4.2.1.3
1acz,A,P69328,3.2.1.3
1ad1,A,O05701,2.5.1.15
1ad1,B,O05701,2.5.1.15
1ad3,A,P11883,1.2.1.5
1ad3,B,P11883,1.2.1.5
1ad4,A,O05701,2.5.1.15
1ad4,B,O05701,2.5.1.15
1ad5,A,P08631,2.7.10.2
1ad5,B,P08631,2.7.10.2
1ad8,H,P00734,3.4.21.5
1ad8,L,P00734,3.4.21.5
1adb,A,P00327,1.1.1.1
1adb,B,P00327,1.1.1.1
1adc,A,P00327,1.1.1.1
1adc,B,P00327,1.1.1.1
1add,A,P03958,3.5.4.4
1ade,A,P0A7D4,6.3.4.4
1ade,B,P0A7D4,6.3.4.4
1adf,A,P00327,1.1.1.1
1adg,A,P00327,1.1.1.1
1adi,A,P0A7D4,6.3.4.4
1adi,B,P0A7D4,6.3.4.4
1adj,A,P56194,6.1.1.21
1adj,B,P56194,6.1.1.21
1adj,C,P56194,6.1.1.21
1adj,D,P56194,6.1.1.21
1adn,A,P06134,2.1.1.63
1adn,A,P06134,2.1.1.n11
1ado,A,P00883,4.1.2.13
1ado,B,P00883,4.1.2.13
1ado,C,P00883,4.1.2.13
1ado,D,P00883,4.1.2.13
1ads,A,P15121,1.1.1.21
1ady,A,P56194,6.1.1.21
1ady,B,P56194,6.1.1.21
1ady,C,P56194,6.1.1.21
1ady,D,P56194,6.1.1.21
1ae1,A,P50162,1.1.1.206
1ae1,B,P50162,1.1.1.206
1ae4,A,P50578,1.1.1.2
1ae7,A,P00608,3.1.1.4
1ae8,H,P00734,3.4.21.5
1ae8,L,P00734,3.4.21.5
1aeb,A,P00431,1.11.1.5
1aec,A,P00785,3.4.22.14
1aed,A,P00431,1.11.1.5
1aee,A,P00431,1.11.1.5
1aef,A,P00431,1.11.1.5
1aeg,A,P00431,1.11.1.5
1aeh,A,P00431,1.11.1.5
1aej,A,P00431,1.11.1.5
1aek,A,P00431,1.11.1.5
1aem,A,P00431,1.11.1.5
1aen,A,P00431,1.11.1.5
1aeo,A,P00431,1.11.1.5
1aeq,A,P00431,1.11.1.5
1aer,A,P11439,2.4.2.36
1aer,B,P11439,2.4.2.36
1aes,A,P00431,1.11.1.5
1aet,A,P00431,1.11.1.5
1aeu,A,P00431,1.11.1.5
1aev,A,P00431,1.11.1.5
1aex,A,P00644,3.1.31.1
1af0,A,P23694,3.4.24.40
1af2,A,P0ABF6,3.5.4.5
1af4,A,P00780,3.4.21.62
1af7,A,P07801,2.1.1.80
1af9,A,P04958,3.4.24.68
1afe,H,P00734,3.4.21.5
1afe,L,P00734,3.4.21.5
1afk,A,P61823,3.1.27.5
1afk,B,P61823,3.1.27.5
1afl,A,P61823,3.1.27.5
1afl,B,P61823,3.1.27.5
1afq,A,P00766,3.4.21.1
